unique_id,x,y
0,86.68602897,26.39767518
1,86.79763999,26.39787654
2,86.90925194,26.39799085
3,87.13247656,26.3979583
4,87.24408823,26.39781145
5,87.35569877,26.39757754
6,87.4673077,26.39725659
7,87.57891449,26.39684859
8,87.69051864,26.39635356
9,87.80211965,26.39577151
10,87.91371699,26.39510244
11,88.02531017,26.39434636
12,88.13689868,26.3935033
13,86.46234528,26.49752103
14,86.57404983,26.49789813
15,86.68575633,26.49818781
16,86.79746427,26.49839005
17,86.90917314,26.49850486
18,87.02088242,26.49853224
19,87.1325916,26.49847217
20,87.24430018,26.49832467
21,87.35600764,26.49808974
22,87.46771348,26.49776738
23,87.57941717,26.49735759
24,87.69111821,26.49686039
25,87.8028161,26.49627578
26,87.91451031,26.49560377
27,88.02620034,26.49484438
28,88.13788567,26.49399761
29,85.79113434,26.59391331
30,85.90291381,26.59481872
31,86.12648732,26.59636629
32,86.23828035,26.59700842
33,86.35007686,26.59756277
34,86.46187636,26.59802932
35,86.57367833,26.59840808
36,86.68548226,26.59869902
37,86.79728762,26.59890215
38,86.90909392,26.59901746
39,87.02090063,26.59904496
40,87.13270725,26.59898463
41,87.24451326,26.59883649
42,87.35631814,26.59860052
43,87.4681214,26.59827675
44,87.5799225,26.59786517
45,87.69172095,26.59736579
46,87.80351622,26.59677862
47,87.9153078,26.59610367
48,88.02709519,26.59534095
49,88.13887787,26.59449048
50,85.67820392,26.69340472
51,85.79007566,26.6944022
52,85.90195297,26.69531156
53,86.01383533,26.6961328
54,86.12572222,26.69686589
55,86.23761314,26.69751083
56,86.34950757,26.6980676
57,86.46140498,26.69853619
58,86.57330488,26.6989166
59,86.68520674,26.69920881
60,86.79711004,26.69941283
61,86.90901428,26.69952864
62,87.02091894,26.69955626
63,87.1328235,26.69949567
64,87.24472745,26.69934688
65,87.35663028,26.69910988
66,87.46853146,26.6987847
67,87.58043049,26.69837132
68,87.69232685,26.69786976
69,87.80422002,26.69728003
70,87.9161095,26.69660213
71,88.02799476,26.69583608
72,88.13987529,26.69498189
73,85.22922719,26.78899593
74,85.34116977,26.79035155
75,85.45312,26.79161875
76,85.56507736,26.79279751
77,85.67704134,26.79388781
78,85.78901142,26.79488963
79,85.90098708,26.79580295
80,86.01296782,26.79662777
81,86.1249531,26.79736405
82,86.23694243,26.7980118
83,86.34893527,26.79857099
84,86.46093112,26.79904162
85,86.57292946,26.79942369
86,86.68492977,26.79971717
87,86.79693153,26.79992208
88,86.90893423,26.8000384
89,87.02093735,26.80006613
90,87.13294037,26.80000528
91,87.24494278,26.79985584
92,87.35694405,26.79961782
93,87.46894369,26.79929121
94,87.58094115,26.79887603
95,87.69293594,26.79837229
96,87.80492753,26.79777999
97,87.91691541,26.79709914
98,88.02889905,26.79632976
99,88.14087795,26.79547185
